Date,Open,High,Low,Close,Volume,등락률,Adj Close
2022-07-26,388000,409500,386500,394000,691524,0.7672634271099744,394000
2022-07-27,383000,397000,382500,393500,2624439,-0.12690355329949238,393500
2022-07-28,396000,419000,393500,415500,1654973,5.5908513341804325,415500
2022-07-29,416000,423000,411000,422000,721315,1.5643802647412757,422000
2022-08-01,420000,428000,416500,419500,370740,-0.5924170616113744,419500
2022-08-02,420000,424000,413000,417000,282849,-0.5959475566150179,417000
2022-08-03,416000,437000,415500,437000,733137,4.796163069544365,437000
2022-08-04,444500,446500,438500,443000,573214,1.3729977116704806,443000
2022-08-05,443500,449000,440500,446000,409770,0.6772009029345373,446000
2022-08-08,443000,448500,440500,447000,256471,0.2242152466367713,447000
2022-08-09,448000,458500,444000,457500,593954,2.348993288590604,457500
2022-08-10,455500,459500,452500,458000,280484,0.1092896174863388,458000
2022-08-11,462000,474000,461000,472000,641654,3.056768558951965,472000
2022-08-12,469000,473000,455500,460500,430857,-2.4364406779661016,460500
2022-08-16,464500,469500,458500,460500,327692,0.0,460500
2022-08-17,461000,461500,450000,453500,343740,-1.520086862106406,453500
2022-08-18,450000,455000,445000,452000,255728,-0.33076074972436603,452000
2022-08-19,452500,455000,445500,447000,225884,-1.1061946902654867,447000
2022-08-22,441500,447500,438500,442500,207144,-1.006711409395973,442500
2022-08-23,441500,449000,439500,445000,225611,0.5649717514124294,445000
2022-08-24,449500,454000,441500,451000,242174,1.348314606741573,451000
2022-08-25,452500,459000,449000,459000,262145,1.7738359201773837,459000
2022-08-26,461000,467000,460500,465500,316072,1.4161220043572984,465500
2022-08-29,451000,465000,447500,459500,339935,-1.288936627282492,459500
2022-08-30,470500,478000,463500,465500,422011,1.3057671381936888,465500
2022-08-31,462500,466000,455000,462500,432953,-0.644468313641246,462500
2022-09-01,455500,469000,455000,463000,289808,0.10810810810810811,463000
2022-09-02,467500,487000,466500,482000,731539,4.103671706263499,482000
2022-09-05,481500,492000,480500,483000,323405,0.2074688796680498,483000
2022-09-06,483000,486000,475000,483500,205898,0.10351966873706005,483500
2022-09-07,481500,490500,481000,488000,276296,0.9307135470527405,488000
2022-09-08,492500,494000,486000,486500,327964,-0.3073770491803279,486500
2022-09-13,492000,500000,485500,497000,437949,2.158273381294964,497000
2022-09-14,487000,500000,486500,498500,412616,0.30181086519114686,498500
2022-09-15,499500,513000,497500,511000,447162,2.507522567703109,511000
2022-09-16,512000,516000,501000,506000,975540,-0.9784735812133072,506000
2022-09-19,507000,507000,475000,477500,524253,-5.632411067193676,477500
2022-09-20,484000,491000,475500,483500,321658,1.256544502617801,483500
2022-09-21,481500,487500,476500,479500,251723,-0.8273009307135472,479500
2022-09-22,475500,492000,473500,488500,270673,1.8769551616266946,488500
2022-09-23,489000,489500,460000,460500,434212,-5.731832139201638,460500
2022-09-26,453000,458000,440000,446500,446277,-3.040173724212812,446500
2022-09-27,447500,451000,435000,444000,365111,-0.5599104143337066,444000
2022-09-28,444000,451500,427000,433500,434645,-2.364864864864865,433500
2022-09-29,440500,448000,436500,440000,315304,1.4994232987312572,440000
2022-09-30,433000,438500,420000,426500,359392,-3.0681818181818183,426500
2022-10-04,429500,446000,415000,444500,385281,4.220398593200469,444500
